STR_CONFIG_SETTING_TREE_PLACER_PERFECT                          :Превосходный
STR_TRACE_RESTRICT_REVERSE_SIG                                  :Задний ход за сигналом
STR_TRACE_RESTRICT_REVERSE_SIG_CANCEL                           :Отмена заднего хода за сигналом
STR_TRACE_RESTRICT_SET_SPEED_RESTRICTION                        :Ограничьте скорость поезда до: {VELOCITY}
STR_TRACE_RESTRICT_REMOVE_SPEED_RESTRICTION                     :Снять ограничение скорости поездов
STR_TRACE_RESTRICT_TRAIN_NOT_STUCK                              :Поезд не застрял, не показывать репортажи об ожидании на этом маршрутном сигнале
STR_TRACE_RESTRICT_TRAIN_NOT_STUCK_CANCEL                       :Отменить поезд не застрял, не показывать репортажи об ожидании на этом маршрутном сигнале
STR_TRACE_RESTRICT_TRAIN_NOT_STUCK_SHORT                        :Поезд не застрял...
STR_TRACE_RESTRICT_TRAIN_NOT_STUCK_CANCEL_SHORT                 :Отменить поезд не застрял...
STR_TRACE_RESTRICT_NO_PBS_BACK_PENALTY                          :Не применять штраф за прохождение этого маршрутного сигнала сзади
STR_TRACE_RESTRICT_NO_PBS_BACK_PENALTY_CANCEL                   :Отменить не применять штраф за прохождение этого маршрутного сигнала сзади
STR_TRACE_RESTRICT_NO_PBS_BACK_PENALTY_SHORT                    :Нет штрафа за проход маршрутного сигнала сзади
STR_TRACE_RESTRICT_NO_PBS_BACK_PENALTY_CANCEL_SHORT             :Отменить нет штрафа за проход маршрутного сигнала сзади
STR_TRACE_RESTRICT_MAKE_TRAIN_SPEED_ADAPTATION_EXEMPT           :Освободить поезд от автоматической адаптации скорости
STR_TRACE_RESTRICT_REMOVE_TRAIN_SPEED_ADAPTATION_EXEMPT         :Убрать освобождение поезда от автоматической адаптации скорости
STR_TRACE_RESTRICT_MAKE_TRAIN_SPEED_ADAPTATION_EXEMPT_SHORT     :Освободить
STR_TRACE_RESTRICT_REMOVE_TRAIN_SPEED_ADAPTATION_EXEMPT_SHORT   :Убрать освобождение
STR_TRACE_RESTRICT_USE_NORMAL_ASPECT_MODE                       :Использовать обычный формат сигнала (комбинированный нормальный/шунтовый формат сигнала)
STR_TRACE_RESTRICT_USE_SHUNT_ASPECT_MODE                        :Использовать шунтовый формат сигнала (комбинированный нормальный/шунтовый формат сигнала)
STR_TRACE_RESTRICT_USE_NORMAL_ASPECT_MODE_SHORT                 :Использовать обычный формат сигнала
STR_TRACE_RESTRICT_USE_SHUNT_ASPECT_MODE_SHORT                  :Использовать шунтовый формат сигнала
STR_TRACE_RESTRICT_TIME_MINUTE                                  :текущая минута (0 - 59)
STR_TRACE_RESTRICT_TIME_HOUR                                    :текущий час (0 - 23)
STR_TRACE_RESTRICT_TIME_HOUR_MINUTE                             :текущий час и минута (0 - 2359)
STR_TRACE_RESTRICT_TIME_DAY                                     :текущий день (1 - 31)
STR_TRACE_RESTRICT_TIME_MONTH                                   :текущий месяц (1 - 12)
STR_TRACE_RESTRICT_TIME_MINUTE_ITEM                             :текущая минута
STR_TRACE_RESTRICT_TIME_HOUR_ITEM                               :текущий час
STR_TRACE_RESTRICT_TIME_HOUR_MINUTE_ITEM                        :текущий час и минута
STR_TRACE_RESTRICT_TIME_DAY_ITEM                                :текущий день
STR_TRACE_RESTRICT_TIME_MONTH_ITEM                              :текущий месяц
STR_TRACE_RESTRICT_TIME_MINUTE_SHORT                            :минута
STR_TRACE_RESTRICT_TIME_HOUR_SHORT                              :час
STR_TRACE_RESTRICT_TIME_HOUR_MINUTE_SHORT                       :час и минута
STR_TRACE_RESTRICT_TIME_DAY_ITEM_SHORT                          :день
STR_TRACE_RESTRICT_TIME_MONTH_ITEM_SHORT                        :месяц
STR_TRACE_RESTRICT_TIMETABLE_LATENESS                           :опоздание
STR_TRACE_RESTRICT_TIMETABLE_EARLINESS                          :ранность

STR_TRACE_RESTRICT_DISPATCH_SLOT_NEXT                           :следующий слот отправления
STR_TRACE_RESTRICT_DISPATCH_SLOT_LAST                           :последний слот отправления
STR_TRACE_RESTRICT_DISPATCH_SLOT_VEH                            :слот отправления транспорта

STR_TRACE_RESTRICT_DISPATCH_SLOT_SHORT_NEXT                     :следующий
STR_TRACE_RESTRICT_DISPATCH_SLOT_SHORT_LAST                     :последний
STR_TRACE_RESTRICT_DISPATCH_SLOT_SHORT_VEH                      :транспорт

STR_TRACE_RESTRICT_VALUE_CAPTION                                :{WHITE}Значение
STR_TRACE_RESTRICT_CAPTION                                      :{WHITE}Ограничение на прокладку маршрута
STR_TRACE_RESTRICT_CAPTION_SHARED                               :{WHITE}Ограничение на прокладку маршрута - всего {COMMA} сигналов
STR_TRACE_RESTRICT_UP_BTN_TOOLTIP                               :{BLACK}Переместить выбранную инструкцию вверх{}Ctrl+клик - переместить условную инструкцию вместо целого блока
STR_TRACE_RESTRICT_DOWN_BTN_TOOLTIP                             :{BLACK}Переместить выбранную инструкцию вниз{}Ctrl+клик - переместить условную инструкцию вместо целого блока
STR_TRACE_RESTRICT_TYPE_TOOLTIP                                 :{BLACK}Тип
STR_TRACE_RESTRICT_COND_COMPARATOR_TOOLTIP                      :{BLACK}Оператор сравнения
STR_TRACE_RESTRICT_COND_VALUE_TOOLTIP                           :{BLACK}Значение
STR_TRACE_RESTRICT_CONDFLAGS_TOOLTIP                            :{BLACK}Тип состояния
STR_TRACE_RESTRICT_GOTO_SIGNAL_TOOLTIP                          :{BLACK}Перейти к сигналу
STR_TRACE_RESTRICT_SLOT_OP_TOOLTIP                              :{BLACK}Тип работы слота
STR_TRACE_RESTRICT_SLOT_GUI_LIST_TOOLTIP                        :{BLACK}Слоты - нажмите на слот, чтобы перечислить все транспортные средства этого слота.
STR_TRACE_RESTRICT_SLOT_CREATE_TOOLTIP                          :{BLACK}Нажмите, чтобы создать слот
STR_TRACE_RESTRICT_SLOT_DELETE_TOOLTIP                          :{BLACK}Удалить выбранный слот
STR_TRACE_RESTRICT_SLOT_RENAME_TOOLTIP                          :{BLACK}Переименовать выбранный слот
STR_TRACE_RESTRICT_SLOT_SET_MAX_OCCUPANCY_TOOLTIP               :{BLACK}Установить максимальную вместимость выбранного слота
STR_TRACE_RESTRICT_SLOT_CAPTION                                 :{WHITE}Ограничения маршрутизации - Управление слотами ({STRING})
STR_TRACE_RESTRICT_SLOT_MANAGE                                  :Управление слотами
STR_TRACE_RESTRICT_SLOT_MAX_OCCUPANCY                           :{TINY_FONT}{COMMA} / {COMMA}
STR_TRACE_RESTRICT_SLOT_RENAME_CAPTION                          :{BLACK}Переименовать слот
STR_TRACE_RESTRICT_SLOT_CREATE_CAPTION                          :{BLACK}Создать слот
STR_TRACE_RESTRICT_SLOT_SET_MAX_OCCUPANCY_CAPTION               :{BLACK}Установить максимальную занятость слота
STR_TRACE_RESTRICT_SLOT_QUERY_DELETE_CAPTION                    :{WHITE}Удалить слот
STR_TRACE_RESTRICT_SLOT_DELETE_QUERY_TEXT                       :{WHITE}Вы уверены, что хотите удалить этот слот?
STR_TRACE_RESTRICT_COUNTER_OP_TOOLTIP                           :{BLACK}Тип работы счётчика
STR_TRACE_RESTRICT_COUNTER_GUI_LIST_TOOLTIP                     :{BLACK}счётчики - нажмите на счётчик, чтобы изменить его.
STR_TRACE_RESTRICT_COUNTER_CREATE                               :{BLACK}Создать
STR_TRACE_RESTRICT_COUNTER_DELETE                               :{BLACK}Удалить
STR_TRACE_RESTRICT_COUNTER_RENAME                               :{BLACK}Переименовать
STR_TRACE_RESTRICT_COUNTER_SET_VALUE                            :{BLACK}Установить значение
STR_TRACE_RESTRICT_COUNTER_CREATE_TOOLTIP                       :{BLACK}Нажмите, чтобы создать счётчик
STR_TRACE_RESTRICT_COUNTER_DELETE_TOOLTIP                       :{BLACK}Удалить выбранный счётчик
STR_TRACE_RESTRICT_COUNTER_RENAME_TOOLTIP                       :{BLACK}Переименовать выбранный счётчик
STR_TRACE_RESTRICT_COUNTER_SET_VALUE_TOOLTIP                    :{BLACK}Установить значение выбранного счётчика
STR_TRACE_RESTRICT_COUNTER_CAPTION                              :{WHITE}Ограничения маршрутизации - Управление счётчиками
STR_TRACE_RESTRICT_COUNTER_MANAGE                               :Управление счётчиками
STR_TRACE_RESTRICT_COUNTER_RENAME_CAPTION                       :{BLACK}Переименовать счётчик
STR_TRACE_RESTRICT_COUNTER_CREATE_CAPTION                       :{BLACK}Создать счётчик
STR_TRACE_RESTRICT_COUNTER_SET_VALUE_CAPTION                    :{BLACK}Установить значение счётчика
STR_TRACE_RESTRICT_COUNTER_QUERY_DELETE_CAPTION                 :{WHITE}Удалить счётчик
STR_TRACE_RESTRICT_COUNTER_DELETE_QUERY_TEXT                    :{WHITE}Вы уверены, что хотите удалить этот счётчик?
STR_TRACE_RESTRICT_INSERT                                       :{BLACK}Вставить
STR_TRACE_RESTRICT_REMOVE                                       :{BLACK}Удалить
STR_TRACE_RESTRICT_RESET                                        :{BLACK}Сбросить
STR_TRACE_RESTRICT_COPY                                         :{BLACK}Копировать
STR_TRACE_RESTRICT_APPEND                                       :{BLACK}Добавить
STR_TRACE_RESTRICT_DUPLICATE                                    :{BLACK}Дублировать
STR_TRACE_RESTRICT_SHARE                                        :{BLACK}Поделиться
STR_TRACE_RESTRICT_UNSHARE                                      :{BLACK}Не делиться
STR_TRACE_RESTRICT_SHARE_ONTO                                   :{BLACK}Поделиться Онто
STR_TRACE_RESTRICT_SELECT_TARGET                                :{BLACK}Выбрать цель
STR_TRACE_RESTRICT_SELECT_SIGNAL                                :{BLACK}Выбрать сигнал
STR_TRACE_RESTRICT_SELECT_TILE                                  :{BLACK}Выбрать клетку
STR_TRACE_RESTRICT_INSERT_TOOLTIP                               :{BLACK}Вставить инструкцию
STR_TRACE_RESTRICT_REMOVE_TOOLTIP                               :{BLACK}Удалить выбранную инструкцию{}Ctrl+клик - удалить выбранную условную инструкцию, но сохранить её содержимое
STR_TRACE_RESTRICT_RESET_TOOLTIP                                :{BLACK}Сбросить текущий сигнал (без влияния на общие программы)
STR_TRACE_RESTRICT_COPY_TOOLTIP                                 :{BLACK}Копировать программу из другого сигнала{}Ctrl+клик - добавить программу из другого сигнала
STR_TRACE_RESTRICT_DUPLICATE_TOOLTIP                            :{BLACK}Дублировать выбранную инструкцию{}Ctrl+клик - добавить программу из другого сигнала
STR_TRACE_RESTRICT_SHARE_TOOLTIP                                :{BLACK}Поделиться программой с другим сигналом
STR_TRACE_RESTRICT_UNSHARE_TOOLTIP                              :{BLACK}Прекратить делиться программой с другими сигналами, создать копию программы
STR_TRACE_RESTRICT_SHARE_TOOLTIP_EXTRA                          :{STRING}{}{BLACK}Ctrl+клик - установить другие сигналы для совместного использования с этой программой
STR_TRACE_RESTRICT_SIGNAL_GUI_TOOLTIP                           :{BLACK}Ограничение на прокладку маршрута
STR_TRACE_RESTRICT_INSTRUCTION_LIST_TOOLTIP                     :{BLACK}Нажмите на инструкцию, чтобы выбрать её{}Ctrl+клик - для прокрутки к цели инструкции (если таковая имеется)
STR_TRACE_RESTRICT_HIGHLIGHT_TOOLTIP                            :{BLACK}Переключение подсветки всех сигналов, использующих эту программу
STR_TRACE_RESTRICT_WARNING_REQUIRES_REALISTIC_BRAKING           :{STRING} {PUSH_COLOUR}{RED}(требует реалистичного торможения){POP_COLOUR}
STR_TRACE_RESTRICT_WARNING_SIGNAL_MODE_CONTROL_ONLY             :{STRING} {PUSH_COLOUR}{RED}(только для действий по управлению режимом сигнала){POP_COLOUR}
STR_TRACE_RESTRICT_WARNING_NO_SIGNAL_MODE_CONTROL               :{STRING} {PUSH_COLOUR}{RED}(не для управления режимом сигнала){POP_COLOUR}
STR_TRACE_RESTRICT_ERROR_CAN_T_INSERT_ITEM                      :{WHITE}Невозможно вставить инструкцию
STR_TRACE_RESTRICT_ERROR_CAN_T_MODIFY_ITEM                      :{WHITE}Невозможно изменить инструкцию
STR_TRACE_RESTRICT_ERROR_CAN_T_REMOVE_ITEM                      :{WHITE}Невозможно удалить инструкцию
STR_TRACE_RESTRICT_ERROR_CAN_T_MOVE_ITEM                        :{WHITE}Невозможно переместить инструкцию
STR_TRACE_RESTRICT_ERROR_CAN_T_DUPLICATE_ITEM                   :{WHITE}Невозможно продублировать инструкцию
STR_TRACE_RESTRICT_ERROR_VALUE_TOO_LARGE                        :{WHITE}Значение слишком велико, максимум - {DECIMAL}
STR_TRACE_RESTRICT_ERROR_NO_PROGRAM                             :Нет программы
STR_TRACE_RESTRICT_ERROR_OFFSET_TOO_LARGE                       :Слишком большое смещение
STR_TRACE_RESTRICT_ERROR_CAN_T_CHANGE_CONDITIONALITY            :Невозможно изменить условия
STR_TRACE_RESTRICT_ERROR_CAN_T_REMOVE_ENDIF                     :Невозможно удалить «конец если»
STR_TRACE_RESTRICT_ERROR_CAN_T_SHALLOW_REMOVE_IF_ELIF           :Нельзя неглубоко удалить блок «если» с одним или несколькими блоками «иначе если», «или если» или «иначе».
STR_TRACE_RESTRICT_ERROR_VALIDATE_END_CONDSTACK                 :Проверка не удалась: кондстек не пуст при выходе
STR_TRACE_RESTRICT_ERROR_VALIDATE_NO_IF                         :Проверка не удалась: иначе/конец если без открывающего если
STR_TRACE_RESTRICT_ERROR_VALIDATE_DUP_ELSE                      :Проверка не удалась: дублирующийся иначе
STR_TRACE_RESTRICT_ERROR_VALIDATE_ELIF_NO_IF                    :Проверка не удалась: иначе если без открывающего если
STR_TRACE_RESTRICT_ERROR_VALIDATE_UNKNOWN_INSTRUCTION           :Проверка не удалась: неизвестная инструкция
STR_TRACE_RESTRICT_ERROR_SOURCE_SAME_AS_TARGET                  :Исходный и целевой сигналы одинаковы
STR_TRACE_RESTRICT_ERROR_TARGET_ALREADY_HAS_PROGRAM             :Целевой сигнал уже имеет программу
STR_TRACE_RESTRICT_ERROR_CAN_T_RESET_SIGNAL                     :{WHITE}Невозможно сбросить сигнал
STR_TRACE_RESTRICT_ERROR_CAN_T_COPY_PROGRAM                     :{WHITE}Невозможно скопировать программу
STR_TRACE_RESTRICT_ERROR_CAN_T_COPY_APPEND_PROGRAM              :{WHITE}Невозможно добавить программу
STR_TRACE_RESTRICT_ERROR_CAN_T_SHARE_PROGRAM                    :{WHITE}Невозможно поделиться программой
STR_TRACE_RESTRICT_ERROR_CAN_T_UNSHARE_PROGRAM                  :{WHITE}Невозможно удалить программу из общего доступа
STR_TRACE_RESTRICT_ERROR_SLOT_CAN_T_CREATE                      :{WHITE}Невозможно создать слот...
STR_TRACE_RESTRICT_ERROR_SLOT_CAN_T_DELETE                      :{WHITE}Невозможно удалить этот слот...
STR_TRACE_RESTRICT_ERROR_SLOT_CAN_T_RENAME                      :{WHITE}Невозможно переименовать слот...
STR_TRACE_RESTRICT_ERROR_SLOT_CAN_T_ADD_VEHICLE                 :{WHITE}Невозможно добавить транспорт в этот слот...
STR_TRACE_RESTRICT_ERROR_SLOT_CAN_T_REMOVE_VEHICLE              :{WHITE}Невозможно удалить транспорт из этого слота...
STR_TRACE_RESTRICT_ERROR_SLOT_CAN_T_SET_MAX_OCCUPANCY           :{WHITE}Невозможно установить максимальную занятость этого слота...
STR_TRACE_RESTRICT_ERROR_COUNTER_CAN_T_CREATE                   :{WHITE}Невозможно создать счётчик...
STR_TRACE_RESTRICT_ERROR_COUNTER_CAN_T_DELETE                   :{WHITE}Невозможно удалить этот счётчик...
STR_TRACE_RESTRICT_ERROR_COUNTER_CAN_T_RENAME                   :{WHITE}Невозможно переименовать счётчик...
STR_TRACE_RESTRICT_ERROR_COUNTER_CAN_T_MODIFY                   :{WHITE}Невозможно изменить этот счётчик...

# Programmable Pre-Signals
STR_PROGRAM_SIGNAL_TOOLTIP                                      :{BLACK}Программируемый пресигнал

STR_ERR_PROGSIG_INVALID_INSTRUCTION                             :{WHITE}Невозможно вставить инструкцию после инструкции с недопустимым идентификатором
STR_ERR_PROGSIG_INVALID_OPCODE                                  :{WHITE}Невозможно вставить инструкцию с таким опкодом
STR_ERR_PROGSIG_NOT_THERE                                       :{WHITE}В нем нет программируемого пресигнала
STR_ERR_PROGSIG_INVALID_SIGNAL_STATE                            :{WHITE}Состояние сигнала недействительно
STR_ERR_PROGSIG_INVALID_CONDITION                               :{WHITE}Это условие недействительно
STR_ERR_PROGSIG_INVALID_CONDITION_FIELD                         :{WHITE}Это поле недопустимо для условия
STR_ERR_PROGSIG_INVALID_COMPARATOR                              :{WHITE}Этот компаратор недействителен
STR_ERR_PROGSIG_INVALID_SIGNAL                                  :{WHITE}Выбран недопустимый сигнал

STR_PROGSIG_CAPTION                                             :{WHITE}Программа программируемого пресигнала
STR_PROGSIG_COND_VARIABLE_TOOLTIP                               :{BLACK}Условия для сравнения
STR_PROGSIG_COND_COMPARATOR_TOOLTIP                             :{BLACK}Оператор для сравнения переменных
STR_PROGSIG_COND_VALUE_TOOLTIP                                  :{BLACK}Значение, с которым сравнивается переменная
STR_PROGSIG_SIGNAL_STATE_TOOLTIP                                :{BLACK}Установить сигнал в состояние
STR_PROGSIG_COND_SET_SIGNAL                                     :{BLACK}Установить сигнал
STR_PROGSIG_COND_SET_SIGNAL_TOOLTIP                             :{BLACK}Установить сигнал, на который нужно обратить внимание
STR_PROGSIG_GOTO_SIGNAL                                         :{BLACK}Перейти к сигналу
STR_PROGSIG_GOTO_SIGNAL_TOOLTIP                                 :{BLACK}Перейти к этому сигналу
STR_PROGSIG_INSERT_TOOLTIP                                      :{BLACK}Вставить инструкцию
STR_PROGSIG_REMOVE_TOOLTIP                                      :{BLACK}Удалить выбранную инструкцию
STR_PROGSIG_REMOVE_PROGRAM_TOOLTIP                              :{BLACK}Удалить всю программу
STR_PROGSIG_COPY_PROGRAM_TOOLTIP                                :{BLACK}Скопировать программу из существующего сигнала
STR_PROGSIG_COND_SLOT_TOOLTIP                                   :{BLACK}Слот для сравнения заполненности
STR_PROGSIG_COND_COUNTER_TOOLTIP                                :{BLACK}Счётчик для сравнения значения

STR_PROGSIG_REMOVE_PROGRAM                                      :{BLACK}Удалить программу
STR_PROGSIG_COPY_PROGRAM                                        :{BLACK}Копировать программу
STR_PROGSIG_REMOVE                                              :{BLACK}Удалить
STR_PROGSIG_INSERT                                              :Вставка
STR_PROGSIG_INSERT_IF                                           :Состояние
STR_PROGSIG_INSERT_SET_SIGNAL                                   :Установить состояние сигнала

STR_PROGSIG_FIRST                                               :Старт
STR_PROGSIG_LAST                                                :Конец

STR_PROGSIG_IF                                                  :Если {STRING} Тогда
STR_PROGSIG_ELSE                                                :Иначе
STR_PROGSIG_ENDIF                                               :Конец если

STR_PROGSIG_SET_SIGNAL                                          :Подать сигнал {STRING}

STR_PROGSIG_COND_ALWAYS                                         :всегда
STR_PROGSIG_COND_NEVER                                          :никогда
STR_PROGSIG_COND_COMPARE                                        :{STRING} {STRING} {NUM}
STR_PROGSIG_COND_SLOT_COMPARE                                   :заполненность {TRSLOT} {STRING} {NUM}
STR_PROGSIG_COND_SLOT_COMPARE_INVALID                           :заполненность {PUSH_COLOUR}{RED}{STRING}{POP_COLOUR} {STRING} {NUM}
STR_PROGSIG_COND_SLOT_REMAINING_COMPARE                         :остаточная заполненность {TRSLOT} {STRING} {NUM}
STR_PROGSIG_COND_SLOT_REMAINING_COMPARE_INVALID                 :остаточная заполненность {PUSH_COLOUR}{RED}{STRING}{POP_COLOUR} {STRING} {NUM}
STR_PROGSIG_COND_COUNTER_COMPARE                                :значение {TRCOUNTER} {STRING} {NUM}
STR_PROGSIG_COND_COUNTER_COMPARE_INVALID                        :значение {PUSH_COLOUR}{RED}{STRING}{POP_COLOUR} {STRING} {NUM}
STR_PROGSIG_COND_SIGNAL_STATE                                   :состояние сигнала
STR_PROGSIG_COND_SLOT                                           :заполненность слота
STR_PROGSIG_COND_SLOT_REMAINING                                 :остаточная заполненность слота
STR_PROGSIG_COND_COUNTER                                        :значение счётчика
STR_PROGSIG_CONDVAR_SIGNAL_STATE_SPECIFIED                      :сигнал на {NUM} x {NUM} зелёный
STR_PROGSIG_CONDVAR_SIGNAL_STATE_UNSPECIFIED                    :{PUSH_COLOUR}{RED}неопределённый сигнал{POP_COLOUR} зелёный
STR_PROGSIG_CONDVAR_NUM_RED                                     :красные сигналы
STR_PROGSIG_CONDVAR_NUM_GREEN                                   :зелёные сигналы

STR_PROGSIG_CONDITION_VALUE_CAPT                                :{WHITE}Значение состояния

STR_ERROR_CAN_T_INSERT_INSTRUCTION                              :{WHITE}Невозможно вставить инструкцию
STR_ERROR_CAN_T_MODIFY_INSTRUCTION                              :{WHITE}Невозможно изменить инструкцию
STR_ERROR_CAN_T_REMOVE_INSTRUCTION                              :{WHITE}Невозможно удалить инструкцию
STR_ERROR_CAN_T_GOTO_UNDEFINED_SIGNAL                           :{WHITE}Невозможно перейти к неопределенному сигналу
STR_ERROR_NOT_AN_EXIT_SIGNAL                                    :{WHITE}Не выходной сигнал
STR_ERROR_NOT_AN_PROG_SIGNAL                                    :{WHITE}Не программируемый пресигнал
STR_ERROR_CANNOT_USE_SELF                                       :{WHITE}Невозможно скопировать программу от себя
STR_ERROR_CAN_T_DEPEND_UPON_BIDIRECTIONAL_SIGNALS               :{WHITE}Не может условно зависеть от двунаправленных сигналов
STR_ERROR_INVALID_SIGNAL                                        :{WHITE}Недопустимый сигнал

STR_ROAD_TOOLBAR_TOOLTIP_CONVERT_ROAD_TO_WAYPOINT               :{BLACK}Преобразовать дорогу в маршрутную точку. Ctrl включает соединение маршрутных точек. Shift переключает построение/показ сметы расходов
STR_ROAD_TOOLBAR_TOOLTIP_CONVERT_TRAM_TO_WAYPOINT               :{BLACK}Преобразовать трамвайный путь в маршрутную точку. Ctrl включает соединение маршрутных точек. Shift переключает построение/показ сметы расходов

STR_WATERWAYS_TOOLBAR_CREATE_RIVER_IN_GAME_TOOLTIP              :{BLACK}Разместить реки

STR_LANDSCAPING_TOOLTIP_RULER_TOOL                              :{BLACK}Использовать виртуальную линейку для измерения расстояния и высоты

STR_TREES_REMOVE_TREES_BUTTON                                   :{BLACK}Удалить все деревья
STR_TREES_REMOVE_TREES_TOOLTIP                                  :{BLACK}Удалить все деревья над ландшафтом

STR_TERRAFORM_PUBLIC_ROADS                                      :{BLACK}Построить общественные дороги
STR_TERRAFORM_PUBLIC_ROADS_TOOLTIP                              :{BLACK}Создать общественные дороги между городами на карте

STR_INDUSTRY_CARGOES_NOTIFY_SMALLMAP_ALL                        :Все предприятия

STR_LAI_RAIL_DESCRIPTION_TRACK_WITH_PROGSIGNALS                 :Железнодорожный путь с программируемыми пресигналами
STR_LAI_RAIL_DESCRIPTION_TRACK_WITH_NOENTRY2SIGNALS             :Железнодорожный путь с невходящими сигналами
STR_LAI_RAIL_DESCRIPTION_TRACK_WITH_NORMAL_PROGSIGNALS          :Железнодорожный путь с блокирующими и программируемыми пресигналами
STR_LAI_RAIL_DESCRIPTION_TRACK_WITH_NORMAL_NOENTRY2SIGNALS      :Железнодорожный путь с блокирующими и невходящими сигналами
STR_LAI_RAIL_DESCRIPTION_TRACK_WITH_PRE_PROGSIGNALS             :Железнодорожный путь с пре- и программируемыми пресигналами
STR_LAI_RAIL_DESCRIPTION_TRACK_WITH_PRE_NOENTRY2SIGNALS         :Железнодорожный путь с пре- и невходящими сигналами
STR_LAI_RAIL_DESCRIPTION_TRACK_WITH_EXIT_PROGSIGNALS            :Железнодорожный путь с выход- и программируемыми пресигналами
STR_LAI_RAIL_DESCRIPTION_TRACK_WITH_EXIT_NOENTRY2SIGNALS        :Железнодорожный путь с выход- и невходящими сигналами
STR_LAI_RAIL_DESCRIPTION_TRACK_WITH_COMBO_PROGSIGNALS           :Железнодорожный путь с комбо- и программируемыми пресигналами
STR_LAI_RAIL_DESCRIPTION_TRACK_WITH_COMBO_NOENTRY2SIGNALS       :Железнодорожный путь с комбо- и невходящими сигналами
STR_LAI_RAIL_DESCRIPTION_TRACK_WITH_PBS_NOENTRY2SIGNALS         :Железнодорожный путь с путевыми и невходящими сигналами
STR_LAI_RAIL_DESCRIPTION_TRACK_WITH_PBS_PROGSIGNALS             :Железнодорожный путь с путевыми и программируемыми пресигналами
STR_LAI_RAIL_DESCRIPTION_TRACK_WITH_NOENTRY_PROGSIGNALS         :Железнодорожный путь с однонаправленными путевыми и программируемыми пресигналами
STR_LAI_RAIL_DESCRIPTION_TRACK_WITH_NOENTRY_NOENTRY2SIGNALS     :Железнодорожный путь с однонаправленными путевыми и невходящими сигналами
STR_LAI_RAIL_DESCRIPTION_TRACK_WITH_PROG_NOENTRY2SIGNALS        :Железнодорожный путь с программируемыми пре- и невходящими сигналами
STR_LAI_RAIL_DESCRIPTION_TRACK_SIGNAL_STYLE                     :{STRING}: ({STRING})
STR_LAI_RAIL_DESCRIPTION_TRACK_SIGNAL_STYLE2                    :{STRING}: ({STRING} и {STRING})

STR_LAI_RAIL_DESCRIPTION_RESTRICTED_SIGNAL                      :{STRING} (restricted)

STR_LAI_TUNNEL_DESCRIPTION_RAILROAD_CHUNNEL                     :Железнодорожный туннель (подводный)
STR_LAI_TUNNEL_DESCRIPTION_RAILROAD_SIGNAL                      :Железнодорожный туннель с симуляцией светофоров
STR_LAI_TUNNEL_DESCRIPTION_RAILROAD_SIGNAL_CHUNNEL              :Железнодорожный туннель с симуляцией светофоров (подводный)
STR_LAI_TUNNEL_DESCRIPTION_ROAD_CHUNNEL                         :Дорожный туннель (подводный)
STR_LAI_BRIDGE_DESCRIPTION_RAILROAD_SIGNAL                      :Железнодорожный мост с симуляцией светофоров

STR_SAVELOAD_UNKNOWN_ID                                         :{YELLOW}Этот файл может быть из другой игры.
STR_SAVELOAD_DIFFERENT_ID                                       :{YELLOW}Этот файл из другой игры.
STR_SAVELOAD_OVERWRITE_TITLE_DIFFERENT_ID                       :{WHITE}Перезаписать файл (другая игра)
STR_SAVELOAD_OVERWRITE_TITLE_DIFFERENT_VERSION_SUFFIX           :{STRING} (Другая версия)
STR_SAVELOAD_OVERWRITE_WARNING_DIFFERENT_ID                     :{YELLOW}Вы уверены, что хотите перезаписать существующий файл?{}{}Этот файл из другой игры.
STR_SAVELOAD_OVERWRITE_WARNING_DIFFERENT_VERSION_SUFFIX         :{STRING}{}{}Файл из другой версии{STRING}.{}Если файл будет перезаписан, он больше не будет читаться оригинальной версией.
STR_SAVELOAD_OVERWRITE_WARNING_VERSION_NAME                     : ({STRING})

STR_MAPGEN_SNOW_LINE_HEIGHT                                     :{BLACK}Высота снеговой линии:
STR_MAPGEN_SNOW_LINE_UP                                         :{BLACK}Поднять снеговую линию
STR_MAPGEN_SNOW_LINE_DOWN                                       :{BLACK}Опустить снеговую линию
STR_MAPGEN_RAINFOREST_LINE_HEIGHT                               :{BLACK}Высота линии тропических лесов:
STR_MAPGEN_RAINFOREST_LINE_UP                                   :{BLACK}Переместить высоту линии тропических лесов на один уровень вверх
STR_MAPGEN_RAINFOREST_LINE_DOWN                                 :{BLACK}Переместить высоту линии тропических лесов на один уровень вниз
STR_MAPGEN_TOO_MANY_TILES_MESSAGE                               :{YELLOW}Слишком много клеток на карте. Максимальное количество клеток - {NUM}, вы выбрали - {NUM}
STR_MAPGEN_SNOW_LINE_QUERY_CAPT                                 :{WHITE}Изменить высоту снеговой линии
STR_MAPGEN_RAINFOREST_LINE_QUERY_CAPT                           :{WHITE}Изменить высоту линии тропических лесов

STR_GENERATION_PUBLIC_ROADS_GENERATION                          :{BLACK}Генерация общественных дорог

STR_NEWGRF_INSPECT_REFRESH                                      :{BLACK}О
STR_NEWGRF_INSPECT_REFRESH_TOOLTIP                              :{BLACK}Переключите, нужно ли обновлять содержимое каждый кадр.
STR_NEWGRF_INSPECT_LOG_CONSOLE                                  :{BLACK}Ж
STR_NEWGRF_INSPECT_LOG_CONSOLE_TOOLTIP                          :{BLACK}Вывести текстовое содержимое этого окна на консоль
